Date,Fund,MoM Return
7/1/15,Target Retirement 2025 Fund,
7/1/15,Target Retirement 2055 Fund,
7/1/15,Target Retirement 2040 Fund,
7/1/15,ESG USD Corporate Bond UCITS ETF,
7/1/15,U.K. Investment Grade Bond Index Fund,1.56
7/1/15,Germany All Cap UCITS ETF,
7/1/15,FTSE All-World UCITS ETF,0.83
7/1/15,Euro Investment Grade Bond Index Fund,1.15
7/1/15,Target Retirement 2050 Fund,
7/1/15,Target Retirement 2060 Fund,
7/1/15,SRI European Stock Fund,3.91
7/1/15,Global Credit Bond Fund,
7/1/15,LifeStrategy 20% Equity Fund,1.47
7/1/15,ESG North America All Cap UCITS ETF,
7/1/15,U.K. Government Bond Index Fund,1.69
7/1/15,Global Bond Index Fund,1.12
7/1/15,EUR Eurozone Government Bond UCITS ETF,
7/1/15,LifeStrategy 60% Equity Fund,1.65
7/1/15,U.K. Long Duration Gilt Index Fund,3.08
7/1/15,USD Treasury Bond UCITS ETF,
7/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,-3.03
7/1/15,SustainableLife 80-90% Equity Fund,
7/1/15,FTSE Developed World UCITS ETF,1.61
7/1/15,FTSE North America UCITS ETF,1.65
7/1/15,ESG Developed World All Cap Equity Index Fund,2.32
7/1/15,USD Corporate Bond UCITS ETF,
7/1/15,ESG Emerging Markets All Cap UCITS ETF,
7/1/15,FTSE U.K. All Share Index Unit Trust,2.39
7/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
7/1/15,Global Sustainable Equity Fund,
7/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,4.55
7/1/15,Japan Government Bond Index Fund,0.35
7/1/15,ESG Emerging Markets All Cap Equity Index Fund,
7/1/15,Global Equity Income Fund,
7/1/15,ESG EUR Corporate Bond UCITS ETF,
7/1/15,U.K. Short-Term Investment Grade Bond Index Fund,0.22
7/1/15,FTSE 100 UCITS ETF,2.75
7/1/15,USD Emerging Markets Government Bond UCITS ETF,
7/1/15,FTSE Developed Europe UCITS ETF,3.99
7/1/15,ESG Developed Europe All Cap UCITS ETF,
7/1/15,Global Short-Term Bond Index Fund,0.31
7/1/15,FTSE 250 UCITS ETF,0.99
7/1/15,U.S. Government Bond Index Fund,1
7/1/15,Target Retirement 2015 Fund,
7/1/15,Emerging Markets Stock Index Fund,-6.3
7/1/15,Japan Stock Index Fund,1.23
7/1/15,SustainableLife 60-70% Equity Fund,
7/1/15,Global Equity Fund,
7/1/15,U.S. Equity Index Fund,2.42
7/1/15,Global Small-Cap Index Fund,0.31
7/1/15,FTSE U.K. Equity Income Index Fund,2.48
7/1/15,ESG Global All Cap UCITS ETF,
7/1/15,FTSE All-World High Dividend Yield UCITS ETF,0.19
7/1/15,FTSE Emerging Markets UCITS ETF,-6.73
7/1/15,Global Short-Term Corporate Bond Index Fund,
7/1/15,ESG Developed World All Cap Equity Index Fund (UK),
7/1/15,LifeStrategy 40% Equity Fund,1.56
7/1/15,Emerging Markets Bond Fund,
7/1/15,FTSE 100 Index Unit Trust,
8/1/15,USD Corporate Bond UCITS ETF,
8/1/15,Target Retirement 2030 Fund,
8/1/15,U.S. Equity Index Fund,-4.67
8/1/15,ESG Emerging Markets All Cap Equity Index Fund,
8/1/15,FTSE 100 UCITS ETF,-5.97
8/1/15,FTSE Global All Cap Index Fund,
8/1/15,Target Retirement 2035 Fund,
8/1/15,Target Retirement 2045 Fund,
8/1/15,U.K. Gilt UCITS ETF,0.28
8/1/15,SustainableLife 80-90% Equity Fund,
8/1/15,Euro Government Bond Index Fund,-0.98
8/1/15,U.S. Government Bond Index Fund,-0.12
8/1/15,FTSE 250 UCITS ETF,-2.97
8/1/15,ESG Developed Europe All Cap UCITS ETF,
8/1/15,U.K. Inflation-Linked Gilt Index Fund,-0.59
8/1/15,USD Emerging Markets Government Bond UCITS ETF,
8/1/15,Global Bond Index Fund,-0.39
8/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
8/1/15,Global Aggregate Bond UCITS ETF,
8/1/15,LifeStrategy 60% Equity Fund,-3.28
8/1/15,LifeStrategy 40% Equity Fund,-2.28
8/1/15,EUR Eurozone Government Bond UCITS ETF,
8/1/15,ESG Developed World All Cap Equity Index Fund,-5.04
8/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,-10.12
8/1/15,Global Short-Term Corporate Bond Index Fund,
8/1/15,Global Small-Cap Index Fund,-3.95
8/1/15,Germany All Cap UCITS ETF,
8/1/15,FTSE U.K. All Share Index Unit Trust,-5.34
8/1/15,ESG Developed World All Cap Equity Index Fund (UK),
8/1/15,LifeStrategy 80% Equity Fund,-4.28
8/1/15,Target Retirement 2040 Fund,
8/1/15,U.K. Government Bond Index Fund,0.29
8/1/15,Global Sustainable Equity Fund,
8/1/15,U.K. Investment Grade Bond Index Fund,-0.8
8/1/15,EUR Corporate Bond UCITS ETF,
8/1/15,Target Retirement 2015 Fund,
8/1/15,Pacific ex-Japan Stock Index Fund,-10.49
8/1/15,ESG Emerging Markets All Cap UCITS ETF,
8/1/15,Target Retirement 2065 Fund,
8/1/15,Target Retirement 2050 Fund,
8/1/15,USD Treasury Bond UCITS ETF,
8/1/15,Emerging Markets Stock Index Fund,-7.51
8/1/15,ESG Global Corporate Bond UCITS ETF,
8/1/15,FTSE Japan UCITS ETF,-5.65
8/1/15,FTSE Developed World ex-U.K. Equity Index Fund,-5.12
8/1/15,S&P 500 UCITS ETF,-6.07
8/1/15,Japan Stock Index Fund,-4.45
8/1/15,ESG Global All Cap UCITS ETF,
8/1/15,U.K. Long Duration Gilt Index Fund,0.16
8/1/15,Global Equity Fund,
8/1/15,FTSE Emerging Markets UCITS ETF,-9.4
8/1/15,Emerging Markets Bond Fund,
8/1/15,SustainableLife 40-50% Equity Fund,
8/1/15,Global Emerging Markets Fund,
8/1/15,FTSE Developed Europe ex UK UCITS ETF,-8.28
8/1/15,Active U.K. Equity Fund,
8/1/15,ESG Global Corporate Bond Index Fund,
8/1/15,Target Retirement 2020 Fund,
8/1/15,FTSE U.K. Equity Income Index Fund,-5.69
8/1/15,FTSE 100 Index Unit Trust,
8/1/15,FTSE Developed World UCITS ETF,-6.57
8/1/15,SustainableLife 60-70% Equity Fund,
8/1/15,Global Credit Bond Fund,
8/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,-5.63
8/1/15,Global Short-Term Bond Index Fund,-0.06
8/1/15,LifeStrategy 100% Equity Fund,-5.27
8/1/15,Euro Investment Grade Bond Index Fund,-0.49
8/1/15,Global Corporate Bond Index Fund,
8/1/15,FTSE All-World High Dividend Yield UCITS ETF,-7.03
8/1/15,Sterling Short-Term Money Market Fund,
8/1/15,U.S. Investment Grade Credit Index Fund,-0.78
8/1/15,Target Retirement 2025 Fund,
8/1/15,FTSE Developed Europe UCITS ETF,-8.34
8/1/15,U.K. Short-Term Investment Grade Bond Index Fund,-0.07
8/1/15,FTSE North America UCITS ETF,-6.06
8/1/15,FTSE All-World UCITS ETF,-6.81
8/1/15,ESG USD Corporate Bond UCITS ETF,
8/1/15,Global Equity Income Fund,
8/1/15,ESG North America All Cap UCITS ETF,
8/1/15,LifeStrategy 20% Equity Fund,-1.31
8/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
8/1/15,ESG EUR Corporate Bond UCITS ETF,
8/1/15,Target Retirement 2055 Fund,
8/1/15,SRI European Stock Fund,-5.6
8/1/15,Target Retirement 2060 Fund,
8/1/15,Japan Government Bond Index Fund,0.2
9/1/15,USD Emerging Markets Government Bond UCITS ETF,
9/1/15,LifeStrategy 60% Equity Fund,-1.16
9/1/15,FTSE Developed Europe UCITS ETF,-4.22
9/1/15,LifeStrategy 40% Equity Fund,-0.55
9/1/15,USD Treasury Bond UCITS ETF,
9/1/15,LifeStrategy 20% Equity Fund,0.04
9/1/15,FTSE Developed World ex-U.K. Equity Index Fund,-2.07
9/1/15,USD Corporate Bond UCITS ETF,
9/1/15,Euro Government Bond Index Fund,1.27
9/1/15,U.K. Inflation-Linked Gilt Index Fund,-0.16
9/1/15,Sterling Short-Term Money Market Fund,
9/1/15,ESG Emerging Markets All Cap Equity Index Fund,
9/1/15,Target Retirement 2050 Fund,
9/1/15,U.K. Gilt UCITS ETF,1.31
9/1/15,FTSE 100 UCITS ETF,-2.87
9/1/15,ESG Emerging Markets All Cap UCITS ETF,
9/1/15,Target Retirement 2045 Fund,
9/1/15,U.K. Government Bond Index Fund,1.27
9/1/15,Global Short-Term Bond Index Fund,0.28
9/1/15,ESG EUR Corporate Bond UCITS ETF,
9/1/15,Target Retirement 2040 Fund,
9/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,-2.15
9/1/15,Global Equity Income Fund,
9/1/15,FTSE Global All Cap Index Fund,
9/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
9/1/15,ESG Global All Cap UCITS ETF,
9/1/15,Global Equity Fund,
9/1/15,FTSE U.K. Equity Income Index Fund,-3.33
9/1/15,Target Retirement 2035 Fund,
9/1/15,Target Retirement 2055 Fund,
9/1/15,U.K. Investment Grade Bond Index Fund,0.06
9/1/15,FTSE U.K. All Share Index Unit Trust,-2.76
9/1/15,FTSE All-World UCITS ETF,-3.66
9/1/15,Emerging Markets Stock Index Fund,-1.54
9/1/15,Japan Stock Index Fund,-5.36
9/1/15,Japan Government Bond Index Fund,0.39
9/1/15,Emerging Markets Bond Fund,
9/1/15,FTSE All-World High Dividend Yield UCITS ETF,-3.68
9/1/15,Pacific ex-Japan Stock Index Fund,-2.19
9/1/15,FTSE 250 UCITS ETF,-2.27
9/1/15,LifeStrategy 80% Equity Fund,-1.78
9/1/15,ESG Developed Europe All Cap UCITS ETF,
9/1/15,Active U.K. Equity Fund,
9/1/15,S&P 500 UCITS ETF,-2.51
9/1/15,Global Sustainable Equity Fund,
9/1/15,ESG Developed World All Cap Equity Index Fund,-2.29
9/1/15,FTSE Japan UCITS ETF,-6.69
9/1/15,Target Retirement 2065 Fund,
9/1/15,Global Small-Cap Index Fund,-2.84
9/1/15,SRI European Stock Fund,-3.25
9/1/15,ESG Developed World All Cap Equity Index Fund (UK),
9/1/15,Target Retirement 2060 Fund,
9/1/15,Global Short-Term Corporate Bond Index Fund,
9/1/15,FTSE 100 Index Unit Trust,
9/1/15,FTSE North America UCITS ETF,-2.81
9/1/15,Target Retirement 2030 Fund,
9/1/15,Target Retirement 2015 Fund,
9/1/15,U.S. Equity Index Fund,-1.49
9/1/15,ESG Global Corporate Bond Index Fund,
9/1/15,SustainableLife 80-90% Equity Fund,
9/1/15,U.S. Government Bond Index Fund,0.96
9/1/15,Euro Investment Grade Bond Index Fund,-0.32
9/1/15,EUR Corporate Bond UCITS ETF,
9/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,-3.23
9/1/15,ESG USD Corporate Bond UCITS ETF,
9/1/15,SustainableLife 60-70% Equity Fund,
9/1/15,Global Bond Index Fund,0.67
9/1/15,Germany All Cap UCITS ETF,
9/1/15,FTSE Developed World UCITS ETF,-3.62
9/1/15,U.S. Investment Grade Credit Index Fund,0.52
9/1/15,EUR Eurozone Government Bond UCITS ETF,
9/1/15,LifeStrategy 100% Equity Fund,-2.43
9/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
9/1/15,Global Aggregate Bond UCITS ETF,
9/1/15,SustainableLife 40-50% Equity Fund,
9/1/15,ESG North America All Cap UCITS ETF,
9/1/15,Global Corporate Bond Index Fund,
9/1/15,U.K. Short-Term Investment Grade Bond Index Fund,-0.16
9/1/15,Global Credit Bond Fund,
9/1/15,ESG Global Corporate Bond UCITS ETF,
9/1/15,FTSE Emerging Markets UCITS ETF,-3.8
9/1/15,Global Emerging Markets Fund,
9/1/15,Target Retirement 2020 Fund,
9/1/15,FTSE Developed Europe ex UK UCITS ETF,-4.33
9/1/15,Target Retirement 2025 Fund,
9/1/15,U.K. Long Duration Gilt Index Fund,1.71
10/1/15,ESG Emerging Markets All Cap UCITS ETF,
10/1/15,ESG Developed Europe All Cap UCITS ETF,
10/1/15,ESG Global All Cap UCITS ETF,
10/1/15,Global Equity Fund,
10/1/15,Global Emerging Markets Fund,
10/1/15,Germany All Cap UCITS ETF,
10/1/15,FTSE U.K. Equity Income Index Fund,4.5
10/1/15,FTSE 250 UCITS ETF,2.86
10/1/15,EUR Eurozone Government Bond UCITS ETF,
10/1/15,ESG Global Corporate Bond Index Fund,
10/1/15,Japan Government Bond Index Fund,0.45
10/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
10/1/15,Global Aggregate Bond UCITS ETF,
10/1/15,FTSE 100 Index Unit Trust,
10/1/15,USD Emerging Markets Government Bond UCITS ETF,
10/1/15,LifeStrategy 40% Equity Fund,2.19
10/1/15,Global Small-Cap Index Fund,3.66
10/1/15,ESG Developed World All Cap Equity Index Fund,5.75
10/1/15,ESG North America All Cap UCITS ETF,
10/1/15,Global Short-Term Bond Index Fund,0.13
10/1/15,FTSE 100 UCITS ETF,5.16
10/1/15,ESG Emerging Markets All Cap Equity Index Fund,
10/1/15,LifeStrategy 20% Equity Fund,1.1
10/1/15,FTSE U.K. All Share Index Unit Trust,4.69
10/1/15,ESG USD Corporate Bond UCITS ETF,
10/1/15,Global Bond Index Fund,0.37
10/1/15,Global Corporate Bond Index Fund,
10/1/15,ESG Global Corporate Bond UCITS ETF,
10/1/15,ESG EUR Corporate Bond UCITS ETF,
10/1/15,Euro Investment Grade Bond Index Fund,0.99
10/1/15,Global Short-Term Corporate Bond Index Fund,
10/1/15,ESG Developed World All Cap Equity Index Fund (UK),
10/1/15,Global Equity Income Fund,
10/1/15,EUR Corporate Bond UCITS ETF,
10/1/15,Global Credit Bond Fund,
10/1/15,LifeStrategy 80% Equity Fund,4.45
10/1/15,Global Sustainable Equity Fund,
10/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,5.07
10/1/15,Target Retirement 2050 Fund,
10/1/15,U.K. Gilt UCITS ETF,-1.27
10/1/15,SustainableLife 60-70% Equity Fund,
10/1/15,Target Retirement 2045 Fund,
10/1/15,U.K. Government Bond Index Fund,-1.26
10/1/15,U.S. Government Bond Index Fund,-0.34
10/1/15,Target Retirement 2040 Fund,
10/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,8.26
10/1/15,SustainableLife 80-90% Equity Fund,
10/1/15,FTSE Global All Cap Index Fund,
10/1/15,LifeStrategy 60% Equity Fund,3.29
10/1/15,FTSE Developed Europe ex UK UCITS ETF,8.25
10/1/15,FTSE North America UCITS ETF,7.97
10/1/15,U.K. Inflation-Linked Gilt Index Fund,-0.93
10/1/15,U.S. Equity Index Fund,5.79
10/1/15,Target Retirement 2035 Fund,
10/1/15,Target Retirement 2015 Fund,
10/1/15,U.K. Investment Grade Bond Index Fund,-0.09
10/1/15,Target Retirement 2030 Fund,
10/1/15,Target Retirement 2025 Fund,
10/1/15,U.K. Short-Term Investment Grade Bond Index Fund,0.2
10/1/15,U.K. Long Duration Gilt Index Fund,-2.26
10/1/15,FTSE Developed Europe UCITS ETF,8.23
10/1/15,Target Retirement 2020 Fund,
10/1/15,USD Corporate Bond UCITS ETF,
10/1/15,USD Treasury Bond UCITS ETF,
10/1/15,FTSE Emerging Markets UCITS ETF,6.32
10/1/15,Sterling Short-Term Money Market Fund,
10/1/15,S&P 500 UCITS ETF,8.4
10/1/15,FTSE Developed World ex-U.K. Equity Index Fund,5.95
10/1/15,LifeStrategy 100% Equity Fund,5.65
10/1/15,FTSE All-World High Dividend Yield UCITS ETF,7.63
10/1/15,Emerging Markets Bond Fund,
10/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
10/1/15,Target Retirement 2065 Fund,
10/1/15,Active U.K. Equity Fund,
10/1/15,FTSE Developed World UCITS ETF,7.93
10/1/15,U.S. Investment Grade Credit Index Fund,0.56
10/1/15,Euro Government Bond Index Fund,1.01
10/1/15,SRI European Stock Fund,4.76
10/1/15,Japan Stock Index Fund,7.94
10/1/15,Emerging Markets Stock Index Fund,5.04
10/1/15,SustainableLife 40-50% Equity Fund,
10/1/15,Target Retirement 2060 Fund,
10/1/15,FTSE All-World UCITS ETF,7.8
10/1/15,Target Retirement 2055 Fund,
10/1/15,FTSE Japan UCITS ETF,9.99
10/1/15,Pacific ex-Japan Stock Index Fund,5.07
11/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
11/1/15,U.K. Short-Term Investment Grade Bond Index Fund,0.48
11/1/15,U.S. Investment Grade Credit Index Fund,-0.22
11/1/15,Global Corporate Bond Index Fund,
11/1/15,Global Bond Index Fund,0.06
11/1/15,Germany All Cap UCITS ETF,
11/1/15,U.S. Equity Index Fund,3.15
11/1/15,U.S. Government Bond Index Fund,-0.4
11/1/15,FTSE Developed World UCITS ETF,-0.52
11/1/15,Global Aggregate Bond UCITS ETF,
11/1/15,FTSE North America UCITS ETF,0.16
11/1/15,USD Corporate Bond UCITS ETF,
11/1/15,Global Credit Bond Fund,
11/1/15,Japan Government Bond Index Fund,0
11/1/15,Japan Stock Index Fund,1.54
11/1/15,Global Sustainable Equity Fund,
11/1/15,FTSE Developed World ex-U.K. Equity Index Fund,2.2
11/1/15,USD Emerging Markets Government Bond UCITS ETF,
11/1/15,S&P 500 UCITS ETF,0.26
11/1/15,FTSE Japan UCITS ETF,-0.85
11/1/15,Global Small-Cap Index Fund,3.75
11/1/15,SRI European Stock Fund,0.55
11/1/15,Global Short-Term Corporate Bond Index Fund,
11/1/15,FTSE U.K. All Share Index Unit Trust,0.56
11/1/15,Sterling Short-Term Money Market Fund,
11/1/15,U.K. Gilt UCITS ETF,1.03
11/1/15,Global Short-Term Bond Index Fund,0.02
11/1/15,U.K. Government Bond Index Fund,1.03
11/1/15,Global Equity Income Fund,
11/1/15,FTSE Global All Cap Index Fund,
11/1/15,Global Equity Fund,
11/1/15,U.K. Inflation-Linked Gilt Index Fund,1.03
11/1/15,FTSE U.K. Equity Income Index Fund,0.23
11/1/15,U.K. Investment Grade Bond Index Fund,1.48
11/1/15,Global Emerging Markets Fund,
11/1/15,U.K. Long Duration Gilt Index Fund,1.73
11/1/15,FTSE Emerging Markets UCITS ETF,-3.61
11/1/15,Pacific ex-Japan Stock Index Fund,1.47
11/1/15,USD Treasury Bond UCITS ETF,
11/1/15,ESG Global Corporate Bond Index Fund,
11/1/15,FTSE All-World UCITS ETF,-0.83
11/1/15,Target Retirement 2065 Fund,
11/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,-1.92
11/1/15,ESG Global All Cap UCITS ETF,
11/1/15,LifeStrategy 100% Equity Fund,1.63
11/1/15,Active U.K. Equity Fund,
11/1/15,ESG EUR Corporate Bond UCITS ETF,
11/1/15,FTSE Developed Europe ex UK UCITS ETF,2.89
11/1/15,LifeStrategy 80% Equity Fund,1.39
11/1/15,Emerging Markets Bond Fund,
11/1/15,ESG Emerging Markets All Cap UCITS ETF,
11/1/15,ESG Emerging Markets All Cap Equity Index Fund,
11/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,0.92
11/1/15,Emerging Markets Stock Index Fund,-1.42
11/1/15,LifeStrategy 60% Equity Fund,1.15
11/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
11/1/15,ESG Developed World All Cap Equity Index Fund (UK),
11/1/15,FTSE Developed Europe UCITS ETF,2.75
11/1/15,ESG Developed Europe All Cap UCITS ETF,
11/1/15,SustainableLife 40-50% Equity Fund,
11/1/15,LifeStrategy 40% Equity Fund,0.89
11/1/15,Target Retirement 2060 Fund,
11/1/15,Target Retirement 2055 Fund,
11/1/15,Target Retirement 2025 Fund,
11/1/15,Euro Government Bond Index Fund,0.47
11/1/15,Euro Investment Grade Bond Index Fund,0.59
11/1/15,Target Retirement 2035 Fund,
11/1/15,FTSE 100 Index Unit Trust,
11/1/15,Target Retirement 2020 Fund,
11/1/15,EUR Eurozone Government Bond UCITS ETF,
11/1/15,Target Retirement 2040 Fund,
11/1/15,FTSE 100 UCITS ETF,0.33
11/1/15,EUR Corporate Bond UCITS ETF,
11/1/15,Target Retirement 2015 Fund,
11/1/15,Target Retirement 2045 Fund,
11/1/15,ESG USD Corporate Bond UCITS ETF,
11/1/15,FTSE 250 UCITS ETF,1.88
11/1/15,ESG North America All Cap UCITS ETF,
11/1/15,SustainableLife 80-90% Equity Fund,
11/1/15,Target Retirement 2050 Fund,
11/1/15,ESG Global Corporate Bond UCITS ETF,
11/1/15,FTSE All-World High Dividend Yield UCITS ETF,-1.51
11/1/15,SustainableLife 60-70% Equity Fund,
11/1/15,ESG Developed World All Cap Equity Index Fund,2.02
11/1/15,Target Retirement 2030 Fund,
11/1/15,LifeStrategy 20% Equity Fund,0.56
12/1/15,LifeStrategy 80% Equity Fund,-0.1
12/1/15,Global Short-Term Bond Index Fund,-0.17
12/1/15,Japan Government Bond Index Fund,0.79
12/1/15,FTSE 100 UCITS ETF,-1.72
12/1/15,EUR Corporate Bond UCITS ETF,
12/1/15,Global Small-Cap Index Fund,-0.47
12/1/15,FTSE Developed Europe ex UK UCITS ETF,-4.62
12/1/15,Global Corporate Bond Index Fund,
12/1/15,ESG EUR Corporate Bond UCITS ETF,
12/1/15,Target Retirement 2015 Fund,
12/1/15,Active U.K. Equity Fund,
12/1/15,Target Retirement 2040 Fund,
12/1/15,Global Sustainable Equity Fund,
12/1/15,Target Retirement 2045 Fund,
12/1/15,Germany All Cap UCITS ETF,
12/1/15,FTSE U.K. All Share Index Unit Trust,-1.28
12/1/15,Global Equity Income Fund,
12/1/15,USD Corporate 1-3 Year Bond UCITS ETF,
12/1/15,LifeStrategy 100% Equity Fund,0.11
12/1/15,ESG Developed Europe All Cap UCITS ETF,
12/1/15,U.S. Equity Index Fund,0.03
12/1/15,ESG Global All Cap UCITS ETF,
12/1/15,FTSE Developed Asia Pacific ex Japan UCITS ETF,1.04
12/1/15,USD Treasury Bond UCITS ETF,
12/1/15,U.K. Government Bond Index Fund,-1.2
12/1/15,S&P 500 UCITS ETF,-1.6
12/1/15,Euro Investment Grade Bond Index Fund,-0.76
12/1/15,Pacific ex-Japan Stock Index Fund,4.31
12/1/15,Global Aggregate Bond UCITS ETF,
12/1/15,FTSE Developed World UCITS ETF,-1.73
12/1/15,Target Retirement 2035 Fund,
12/1/15,U.K. Investment Grade Bond Index Fund,-0.92
12/1/15,USD Emerging Markets Government Bond UCITS ETF,
12/1/15,ESG Developed Asia Pacific All Cap UCITS ETF,
12/1/15,FTSE 100 Index Unit Trust,
12/1/15,LifeStrategy 60% Equity Fund,-0.31
12/1/15,Emerging Markets Stock Index Fund,-0.12
12/1/15,Japan Stock Index Fund,2.44
12/1/15,Global Short-Term Corporate Bond Index Fund,
12/1/15,ESG USD Corporate Bond UCITS ETF,
12/1/15,Target Retirement 2020 Fund,
12/1/15,FTSE Developed Europe ex-U.K. Equity Index Fund,0.21
12/1/15,ESG Emerging Markets All Cap Equity Index Fund,
12/1/15,FTSE Developed Europe UCITS ETF,-5.19
12/1/15,EUR Eurozone Government Bond UCITS ETF,
12/1/15,ESG Emerging Markets All Cap UCITS ETF,
12/1/15,USD Corporate Bond UCITS ETF,
12/1/15,FTSE U.K. Equity Income Index Fund,-1.56
12/1/15,Emerging Markets Bond Fund,
12/1/15,FTSE Emerging Markets UCITS ETF,-2.14
12/1/15,U.K. Inflation-Linked Gilt Index Fund,-3.1
12/1/15,Global Bond Index Fund,-0.38
12/1/15,U.K. Short-Term Investment Grade Bond Index Fund,-0.16
12/1/15,FTSE 250 UCITS ETF,0.2
12/1/15,FTSE Global All Cap Index Fund,
12/1/15,ESG Developed World All Cap Equity Index Fund (UK),
12/1/15,FTSE North America UCITS ETF,-1.98
12/1/15,ESG Global Corporate Bond Index Fund,
12/1/15,Target Retirement 2060 Fund,
12/1/15,Target Retirement 2030 Fund,
12/1/15,SustainableLife 60-70% Equity Fund,
12/1/15,LifeStrategy 40% Equity Fund,-0.53
12/1/15,Global Emerging Markets Fund,
12/1/15,FTSE All-World UCITS ETF,-1.74
12/1/15,ESG Global Corporate Bond UCITS ETF,
12/1/15,U.S. Investment Grade Credit Index Fund,-0.81
12/1/15,SustainableLife 80-90% Equity Fund,
12/1/15,ESG Developed World All Cap Equity Index Fund,0.26
12/1/15,FTSE Developed World ex-U.K. Equity Index Fund,0.57
12/1/15,SustainableLife 40-50% Equity Fund,
12/1/15,U.S. Government Bond Index Fund,-0.28
12/1/15,U.K. Long Duration Gilt Index Fund,-2.08
12/1/15,FTSE Japan UCITS ETF,0.27
12/1/15,Target Retirement 2025 Fund,
12/1/15,Global Equity Fund,
12/1/15,Target Retirement 2055 Fund,
12/1/15,Sterling Short-Term Money Market Fund,
12/1/15,LifeStrategy 20% Equity Fund,-0.75
12/1/15,Global Credit Bond Fund,
12/1/15,ESG North America All Cap UCITS ETF,
12/1/15,U.K. Gilt UCITS ETF,-1.2
12/1/15,Euro Government Bond Index Fund,-0.96
12/1/15,SRI European Stock Fund,-0.52
12/1/15,Target Retirement 2065 Fund,
